ID,Nome,Endereco,Telefone,Data_de_cadastro,CNPJ,Porte
3015,Juan Silva Cardoso Ferraz,PE,86331-5132,24/8/2016,61.090.566/1714-59,EPP
3016,Tom Cabral Mendonça Leme,SC,94904-6986,6/5/2021,84.093.778/7633-63,MEI
3017,Regina Oliveria Brito Cardoso,GO,50019-3977,24/9/2022,91.387.597/3573-66,ME
3018,Alice Saboia Diones Breda,ES,91699-3434,3/12/2015,45.275.911/1545-74,MEI
3019,Dora Saboia Ferraz Fernandes,CE,38959-9013,7/6/2023,46.140.861/7451-23,MEI
3020,Dalva Rodriguez Mendonça Santana,RO,53778-2843,9/6/2021,59.852.543/1439-82,ME
3021,Daniel Marques Rodrigues Teixeira,AM,24357-0789,8/5/2016,55.306.215/3573-51,EPP
3022,Thiago Diones Oliveria Pinheiro,RJ,64988-9397,6/10/2019,16.974.597/0763-16,Medio Porte
3023,Palmira Leme Oliveria Ferraz,AL,69690-6558,5/11/2018,74.960.110/2260-43,ME
3024,Lucas Oliveria Ferraz Paz,MA,18123-3190,18/10/2020,46.162.229/0693-31,MEI
3025,Rodolfo Gonçalves Fernandes Ferraz,CE,62561-9925,25/3/2019,38.984.398/0765-09,Medio Porte
3026,Frida Breda Rodriguez Nascimento,BA,20343-9636,1/4/2025,56.047.768/8767-60,MEI
3027,Thereza Saboia Barbieri Gonçalves,DF,52787-5316,22/6/2020,47.037.633/9534-10,EPP
3028,Bárbara Barbieri Rodrigues Leme,RS,70630-0999,2/9/2018,28.066.073/5111-79,MEI
3029,Joaquim Lobato Cabral Fernandes,AM,31395-7024,11/4/2020,89.308.240/2325-73,EPP
3030,Jean Moares Oliveria Saboia,PB,52052-6399,16/1/2018,52.599.443/7256-80,ME
3031,Antônio Ferraz Gonçalves Rodriguez,AL,97917-0769,15/4/2018,35.813.219/1537-43,ME
3032,Cláudio Santana Gonçalves Breda,RJ,33715-7163,19/5/2025,07.106.501/1945-94,MEI
3033,Rute Diones Moares Ferraz,PA,98060-6893,4/6/2021,69.540.856/9997-85,EPP
3034,Lara Ferreira Oliveria Ferraz,BA,76394-3442,8/8/2016,36.000.078/7943-16,ME
3035,Luiz Lobato Santana Santana,MS,75622-1059,21/8/2022,49.495.727/4401-87,ME
3036,Pedro Leme Ferraz Marques,RS,64905-4091,10/2/2016,73.606.572/0814-62,ME
3037,Breno Matos Paz Saboia,PI,28042-1522,3/11/2023,47.647.187/5511-01,ME
3038,Carlos Paz Teixeira Santana,RJ,68835-7179,3/3/2021,89.319.313/8544-71,EPP
3039,Benjamim Cabral Cabral Paz,PA,63805-2785,17/2/2021,32.288.503/5910-40,EPP
3040,Giuseppe Nascimento Saboia Marques,PB,38673-0903,14/4/2023,88.764.361/0484-72,Medio Porte
3041,Jacques Paz Teixeira Brito,PE,65542-9783,19/8/2015,52.598.704/9980-16,MEI
3042,Miguel Rodrigues Ferraz Brito,SE,58483-7540,23/7/2021,41.946.328/5131-38,ME
3043,Pedro Ferreira Pinheiro Diones,PA,21728-9114,15/12/2016,57.115.856/3187-05,ME
3044,Marcos Pinheiro Santana Diones,MA,49211-7639,20/12/2024,72.895.427/4245-58,EPP
3045,Ben Breda Mendonça Gonçalves,RN,41018-8354,9/6/2022,16.246.593/7730-38,Medio Porte
3046,Carolina Nascimento Ferreira Ferreira,ES,18018-4794,26/6/2018,26.280.338/3307-66,ME
3047,Eduardo Gonçalves Saboia Boaz,CE,19590-5509,24/12/2025,19.041.611/9682-99,MEI
3048,Carla Ferreira Diones Brito,TO,63248-6966,18/5/2015,44.262.779/1286-01,Medio Porte
3049,Raquel Gonçalves Gonçalves Paz,PE,77868-5348,10/6/2025,16.842.899/6167-13,Medio Porte
3050,Andréia Munhoz Saboia Coutinho,SC,02793-2817,10/9/2024,14.958.385/5859-84,ME
3051,Breno Boaz Teixeira Cardoso,PR,70459-2859,24/7/2016,04.052.847/1087-90,ME
3052,Luisa Coutinho Rodrigues Moares,AC,69500-8532,19/2/2015,78.119.843/7422-32,MEI
3053,Daniel Barbieri Saboia Nascimento,MG,67767-1472,4/11/2017,10.127.087/7125-84,ME
3054,Ana Mendonça Munhoz Paz,AM,63527-2110,11/8/2025,75.778.372/3598-16,ME
3055,Elis Cabral Moares Breda,RR,77836-1156,15/5/2023,87.115.072/0396-21,ME
3056,Nayara Paz Pinheiro Breda,RR,47992-8470,20/10/2019,30.716.179/3845-73,EPP
3057,Mafalda Boaz Moares Nascimento,MT,32293-1286,8/3/2018,82.014.438/6919-06,MEI
3058,Lucas Boaz Teixeira Boaz,SP,66023-0640,17/1/2021,07.080.321/9296-46,EPP
3059,Nara Cabral Cardoso Matos,SP,52598-8119,12/2/2017,35.773.008/2886-99,EPP
3060,Zulmira Marques Gonçalves Leme,SC,54319-3883,17/8/2015,13.131.998/5584-88,EPP
3061,Dalva Fernandes Leite Munhoz,RS,59585-5044,26/1/2025,48.849.355/3217-23,EPP
3062,Chico Teixeira Saboia Ferraz,TO,92651-8695,27/1/2020,85.027.203/0968-64,EPP
3063,Martha Leme Fernandes Pinheiro,PA,61875-7319,22/8/2015,29.301.658/9604-27,Grande Porte
3064,Carolina Silva Gonçalves Barbieri,RS,05480-6829,18/1/2017,24.500.275/4009-89,MEI
3065,Cássia Diones Oliveria Matos,PR,44873-6670,25/1/2018,40.224.355/2358-49,ME
3066,Frederico Breda Brito Mendonça,ES,40574-7912,6/5/2018,50.969.395/9770-38,MEI
3067,Caetano Ferraz Santana Leme,PA,12553-3764,8/11/2025,65.500.054/8451-46,ME
3068,Abraão Brito Moares Matos,RO,01081-1998,22/10/2021,10.312.847/0302-12,ME
3069,Suely Marques Ferraz Coutinho,ES,36520-6380,12/11/2020,19.143.388/9622-04,EPP
3070,Tom Cabral Rodrigues Moares,PA,50766-3001,26/5/2016,53.113.617/1638-46,ME
3071,Jean Ferraz Leme Cabral,SP,90063-3163,13/1/2019,38.859.992/4011-23,MEI
3072,Cássia Coutinho Barbieri Ferraz,AC,99667-2022,5/2/2023,80.248.960/6488-38,MEI
3073,Christina Cardoso Brito Leme,CE,33455-3538,24/10/2022,24.152.341/0060-68,ME
3074,Joelma Matos Nascimento Ferreira,AC,81298-0563,21/4/2023,67.106.703/0589-83,ME
3075,Joana Paz Pinheiro Boaz,RJ,50227-3982,5/9/2025,17.895.922/4176-05,ME
3076,Tom Matos Leme Rodriguez,SP,35426-5602,4/2/2022,94.005.142/0376-33,ME
3077,Dora Marques Matos Santana,BA,93083-6783,3/10/2017,94.080.662/8341-68,ME
3078,Elaine Leite Marques Leite,RR,56164-2953,14/4/2017,63.157.824/2329-18,EPP
3079,Louise Breda Gonçalves Oliveria,RR,60667-5471,5/5/2017,49.044.837/5014-03,MEI
3080,Anna Boaz Saboia Brito,SC,51599-3631,16/7/2017,32.713.121/6261-02,EPP
3081,Zuleide Rodrigues Barbieri Ferraz,AL,81923-1244,4/10/2022,65.679.214/7052-12,ME
3082,Nara Brito Leme Ferreira,RJ,04548-6297,14/1/2020,45.104.456/5267-17,ME
3083,Emily Cardoso Boaz Ferreira,RO,42317-4235,13/5/2025,62.962.030/1075-08,EPP
3084,Marcos Munhoz Saboia Nascimento,DF,93541-1093,17/2/2017,54.688.143/1870-98,ME
3085,Danilo Ferraz Oliveria Munhoz,CE,91843-4260,22/6/2016,94.575.913/4473-70,EPP
3086,Antonieta Fernandes Munhoz Leite,PI,85644-8330,13/9/2015,64.226.517/6390-13,MEI
3087,Elizabeth Mendonça Ferraz Ferraz,AM,33243-8287,28/6/2023,24.294.932/2176-93,MEI
3088,Gabriel Rodrigues Mendonça Leme,RR,76084-1113,4/12/2019,92.109.469/6480-68,ME
3089,Joelma Barbieri Mendonça Lobato,MA,75173-1258,26/12/2019,52.323.136/5287-27,EPP
3090,Creuza Moares Oliveria Cardoso,RR,62987-2054,20/11/2025,67.996.556/2810-63,EPP
3091,Dorotéia Ferraz Barbieri Moares,DF,03995-9979,5/10/2023,73.005.046/6575-93,MEI
3092,Dalva Teixeira Barbieri Matos,MA,79669-3096,14/3/2015,01.841.205/9038-55,ME
3093,Bárbara Rodrigues Lobato Lobato,PE,89940-3703,9/9/2025,73.948.618/2651-12,ME
3094,Louise Mendonça Brito Boaz,PA,60476-1427,16/11/2016,44.729.137/9387-70,MEI
3095,Breno Saboia Cardoso Mendonça,GO,92816-6449,26/4/2021,02.597.294/8551-64,ME
3096,Isabel Rodrigues Breda Ferraz,BA,22433-4735,16/12/2019,80.868.405/5688-21,ME
3097,Dalva Cabral Diones Fernandes,MS,01115-3333,17/9/2016,80.986.947/0110-98,MEI
3098,Frida Oliveria Ferraz Rodrigues,PB,55045-3899,20/6/2022,16.347.050/7897-39,Medio Porte
3099,Sônia Nascimento Leite Ferreira,RS,51603-3934,10/7/2018,35.258.029/2925-15,ME
3100,Creuza Leme Santana Cardoso,PI,17035-8826,2/4/2020,41.734.634/3328-05,EPP
3101,Juliana Ferraz Leme Ferreira,SP,41170-6044,6/6/2020,73.414.628/7868-88,ME
3102,Enzo Diones Diones Ferraz,SP,81945-1487,16/7/2015,74.943.901/6262-96,ME
3103,Suely Oliveria Lobato Ferraz,AP,06342-5807,18/12/2017,50.734.179/9296-56,Grande Porte
3104,Elizabeth Matos Nascimento Matos,TO,82375-4775,5/5/2020,97.663.474/4203-78,ME
3105,Helena Rodriguez Ferraz Pinheiro,BA,02554-7433,7/5/2023,44.413.273/7077-18,ME
3106,Wanda Moares Diones Mendonça,PE,40407-2493,13/4/2023,30.841.071/6308-24,ME
3107,Vinícius Silva Leme Ferraz,TO,48567-2091,22/4/2023,36.079.290/8382-26,ME
3108,Zulmira Leme Cabral Breda,MG,36726-6327,25/10/2018,52.819.358/3120-58,Medio Porte
3109,Dora Breda Teixeira Ferraz,CE,46519-5150,7/3/2025,42.861.819/5956-56,ME
3110,Alice Paz Fernandes Lobato,RO,70931-5800,8/1/2016,92.853.464/9705-23,ME
3111,Vinícius Pinheiro Barbieri Ferreira,MG,12851-2672,18/1/2020,33.915.226/4515-51,Grande Porte
3112,Carla Teixeira Ferraz Munhoz,BA,30371-2340,14/12/2017,62.799.159/2674-91,ME
3113,Guilherme Gonçalves Fernandes Leite,AC,97888-0871,20/2/2015,46.932.892/5038-89,EPP
3114,Christina Ferreira Silva Ferreira,PI,28258-3441,25/1/2024,53.545.927/6954-74,EPP
3115,Benjamim Pinheiro Moares Matos,PB,76248-0267,5/6/2023,92.981.651/8212-05,ME
3116,Ben Ferraz Pinheiro Cardoso,RR,41863-2258,25/10/2024,51.887.612/8188-27,ME
3117,Chico Barbieri Coutinho Leite,PE,30529-8817,7/8/2025,35.591.587/9941-78,MEI
3118,Alexandre Ferreira Silva Paz,DF,22317-9265,2/3/2018,96.786.839/5052-94,ME
3119,Elis Ferreira Leite Cardoso,DF,84402-2683,24/8/2023,10.235.570/5999-17,EPP
3120,Dora Leme Cabral Leme,GO,97756-2282,5/11/2022,48.511.396/1052-04,MEI
3121,Christina Leme Mendonça Matos,CE,62603-1665,20/10/2025,40.000.868/1193-88,ME
3122,Jacques Leite Rodriguez Marques,MS,71972-0750,15/5/2025,56.178.455/1073-87,ME
3123,Wanda Silva Marques Diones,ES,62157-2987,26/10/2019,68.872.808/3981-38,Medio Porte
3124,Camilla Moares Boaz Pinheiro,BA,51928-4514,6/8/2022,73.587.366/0593-63,ME
3125,André Cabral Diones Saboia,PA,97160-0682,13/5/2020,90.908.479/3532-81,Medio Porte
3126,Nara Nascimento Coutinho Oliveria,RS,54990-6153,16/3/2021,20.880.318/3671-47,MEI
3127,Rodolfo Breda Diones Mendonça,AM,15726-0748,1/11/2020,28.106.270/1659-93,MEI
3128,Ana Munhoz Santana Santana,RN,64828-0959,27/10/2018,18.171.913/6268-84,EPP
3129,Carla Boaz Brito Nascimento,SC,05327-1568,12/10/2016,65.873.117/7959-84,ME
3130,Bárbara Ferraz Cabral Saboia,RN,89706-9567,13/9/2025,66.331.495/0021-76,MEI
3131,Carlos Teixeira Ferreira Santana,CE,05107-5928,14/12/2016,22.260.269/6487-48,MEI
3132,Raquel Fernandes Ferraz Brito,AL,27021-6304,7/2/2019,35.823.294/4262-63,Grande Porte
3133,Arthur Munhoz Fernandes Ferraz,BA,49881-7692,23/4/2021,89.977.649/6109-10,Medio Porte
3134,Rita Santana Leme Fernandes,TO,00548-0314,24/11/2017,56.672.318/9999-02,Medio Porte
3135,Sônia Nascimento Barbieri Brito,PI,09356-7904,7/5/2023,96.446.518/3471-94,MEI
3136,Jonathan Cabral Coutinho Santana,AP,77917-4207,28/1/2018,77.875.815/1861-17,EPP
3137,Wanda Brito Mendonça Barbieri,PR,13609-1102,21/9/2025,16.878.256/6569-85,MEI
3138,Marlon Marques Leme Rodriguez,PE,74476-2975,18/10/2025,77.132.606/5000-80,MEI
3139,Rafael Paz Saboia Diones,PA,43125-8301,20/1/2017,76.269.192/4024-18,Medio Porte
3140,Mateus Rodriguez Santana Marques,RN,29553-3203,21/10/2019,13.757.967/0510-19,ME
3141,Cláudio Nascimento Boaz Leite,MT,59413-2601,8/9/2019,54.067.615/1161-33,EPP
3142,Carolina Coutinho Santana Moares,RN,81461-0844,24/5/2018,98.989.768/3153-30,MEI
3143,Esther Cardoso Coutinho Rodrigues,PB,09597-1376,24/9/2022,60.007.709/9112-45,ME
3144,Adão Gonçalves Lobato Matos,CE,96416-8154,19/12/2015,65.330.901/3096-21,EPP
3145,Dalva Coutinho Ferraz Ferreira,AC,55416-5281,4/5/2020,61.514.142/7225-52,MEI
3146,Isaac Cabral Ferreira Diones,PI,71468-2746,12/2/2021,31.668.017/3080-92,ME
3147,Darwim Diones Santana Rodriguez,GO,11779-1640,14/11/2021,61.881.544/4907-49,EPP
3148,Luisa Breda Oliveria Mendonça,AM,93621-7113,2/3/2021,88.257.078/4406-02,MEI
3149,Emanuel Breda Silva Oliveria,MA,56265-3096,18/4/2024,12.408.956/3511-22,ME
3150,Mercedes Rodriguez Boaz Ferreira,TO,65667-2760,8/1/2015,31.561.550/3957-78,ME
3151,Caio Silva Brito Matos,RS,01315-7152,18/4/2017,34.294.184/5007-59,Medio Porte
3152,Carolina Ferraz Oliveria Barbieri,TO,29595-7445,23/6/2025,62.158.422/5305-23,ME
3153,Patrick Leite Breda Oliveria,PR,92595-1240,25/4/2024,58.932.508/5804-39,ME
3154,Isabela Ferraz Gonçalves Nascimento,PE,07044-8425,22/2/2018,17.597.533/2611-18,ME
3155,Vanessa Leme Diones Matos,CE,47344-4401,23/2/2017,96.549.475/4806-89,EPP
3156,Vitor Pinheiro Lobato Gonçalves,CE,01785-2536,2/11/2023,63.495.308/3032-40,Medio Porte
3157,Lara Ferraz Coutinho Ferraz,SP,15302-2062,5/10/2023,82.475.306/6250-32,EPP
3158,Thiago Gonçalves Oliveria Saboia,PE,11116-1604,20/10/2024,46.345.040/6041-27,ME
3159,Henry Ferraz Fernandes Teixeira,DF,37565-9077,24/5/2016,98.326.563/9034-37,EPP
3160,Marcelo Fernandes Saboia Saboia,AL,97160-6515,16/10/2021,82.562.550/9525-53,ME
3161,Dora Paz Moares Mendonça,PE,51994-7624,28/7/2017,01.945.617/7221-36,EPP
3162,Darwim Brito Leme Munhoz,AM,51824-0192,11/3/2021,66.938.916/1903-03,MEI
3163,Milton Marques Rodrigues Ferreira,SC,07844-0704,15/6/2023,32.269.768/5468-43,EPP
3164,Ana Munhoz Nascimento Moares,RO,91866-0466,16/2/2020,47.869.483/5055-75,Medio Porte
3165,Helena Lobato Leme Gonçalves,MS,06061-4920,23/5/2023,86.527.903/7331-72,EPP
3166,Sônia Paz Mendonça Fernandes,PB,29394-8420,22/6/2024,21.062.918/9692-94,Medio Porte
3167,Antônio Moares Barbieri Mendonça,PE,67316-2063,7/6/2022,39.347.810/9502-74,EPP
3168,André Cardoso Breda Breda,RJ,27950-3107,11/6/2023,20.552.958/7616-59,MEI
3169,Carlos Silva Diones Marques,GO,61011-4563,16/6/2016,61.413.150/7989-80,EPP
3170,Maria Brito Oliveria Ferraz,GO,29470-6664,12/5/2018,84.508.312/8573-93,EPP
3171,Milton Oliveria Silva Cabral,DF,31037-8705,9/12/2023,14.148.249/0775-21,EPP
3172,Gabriela Rodrigues Lobato Cabral,AM,51373-3279,13/11/2023,69.956.759/3834-58,EPP
3173,Fátima Gonçalves Diones Cardoso,PA,98571-2632,6/5/2023,56.329.598/8736-47,MEI
3174,Laura Diones Nascimento Breda,PA,92539-4099,12/4/2022,35.284.643/5212-38,MEI
3175,Nara Breda Rodriguez Leite,PR,37656-0455,16/6/2024,07.488.382/9352-52,ME
3176,Henry Brito Leme Diones,MG,83676-5876,21/4/2019,99.331.475/9808-58,MEI
3177,Marcos Ferraz Rodrigues Mendonça,AM,29504-9294,19/7/2021,88.187.289/7050-68,ME
3178,Davi Moares Moares Saboia,RO,82768-5580,22/5/2015,18.874.846/7338-30,EPP
3179,Marlon Marques Paz Lobato,RJ,16156-2665,10/12/2020,81.504.089/7220-59,ME
3180,Dorotéia Munhoz Nascimento Saboia,PB,69930-0844,1/7/2015,46.201.433/3995-12,ME
3181,Isabela Marques Ferreira Paz,AL,15153-9383,17/10/2020,29.776.638/4967-94,ME
3182,Bárbara Moares Marques Saboia,PE,57188-9921,24/11/2025,21.548.179/4685-20,ME
3183,Rafael Cardoso Lobato Brito,RN,56298-2010,25/2/2020,18.512.394/0160-61,ME
3184,Darwim Nascimento Boaz Leite,AM,32404-2815,26/4/2019,31.067.055/0151-31,EPP
3185,Ariel Santana Rodrigues Paz,RJ,18404-9102,23/4/2017,58.322.754/4800-54,ME
3186,Rita Oliveria Leme Rodriguez,RO,02931-1576,7/8/2022,13.863.938/0996-16,MEI
3187,Cassandra Barbieri Silva Rodrigues,RR,24894-3041,25/2/2018,12.255.621/5606-53,EPP
3188,Naira Matos Paz Coutinho,AP,92152-4913,7/1/2025,09.955.140/8546-85,EPP
3189,Arthur Cardoso Leite Matos,RN,13964-6347,20/7/2021,74.105.334/6276-08,MEI
3190,Lara Ferraz Barbieri Rodrigues,SC,16656-1490,11/9/2023,90.952.957/7569-40,ME
3191,Davi Teixeira Pinheiro Ferraz,RR,46660-3912,28/7/2022,46.730.236/3060-18,MEI
3192,Adriel Moares Cardoso Cabral,PB,69006-5565,2/11/2024,42.353.984/0356-98,Medio Porte
3193,Elaine Santana Cabral Cardoso,GO,14592-4621,22/6/2024,79.077.733/4500-19,EPP
3194,Antonieta Gonçalves Oliveria Mendonça,CE,61909-7981,12/12/2017,95.853.102/3836-07,MEI
3195,Dora Cabral Matos Lobato,TO,68062-9063,14/1/2018,88.669.223/5672-56,EPP
3196,Juan Nascimento Leite Santana,MT,83332-6916,1/5/2017,69.758.942/6679-77,MEI
3197,Suzana Brito Leme Breda,RJ,56267-2978,6/6/2017,39.105.345/0806-03,ME
3198,Martha Silva Pinheiro Paz,PB,75196-6321,28/4/2024,68.377.209/8864-41,MEI
3199,Eloísa Rodrigues Cabral Rodrigues,RJ,85141-8096,27/9/2016,18.026.773/0806-10,EPP
3200,Anna Gonçalves Breda Breda,MG,03875-0593,25/9/2025,18.126.578/4187-43,MEI
3201,Louise Rodriguez Cardoso Saboia,SE,49185-8614,14/3/2021,54.745.262/4223-95,ME
3202,Giuseppe Saboia Mendonça Diones,ES,70670-2083,16/2/2015,70.779.320/7801-61,ME
3203,Louise Nascimento Cabral Cabral,RO,90789-2980,7/2/2017,72.648.516/9593-13,EPP
3204,Wanda Cabral Cabral Coutinho,PA,60098-7609,18/8/2021,96.548.446/7916-06,ME
3205,Nayara Ferraz Oliveria Ferraz,DF,24095-0620,11/4/2020,69.587.996/8572-12,Medio Porte
3206,Elaine Nascimento Marques Breda,RO,04881-7916,15/3/2017,22.149.461/8503-21,MEI
3207,Bruno Gonçalves Paz Mendonça,AP,91609-9031,17/10/2017,52.335.162/9166-31,MEI
3208,Thiago Nascimento Ferreira Breda,ES,05698-1015,7/4/2025,51.839.801/0723-22,ME
3209,Henry Moares Cardoso Lobato,SC,81143-7941,11/1/2019,18.357.711/8253-05,ME
3210,Wanda Ferreira Silva Munhoz,PB,02033-2250,9/8/2015,61.227.894/8940-54,MEI
3211,Christina Diones Mendonça Fernandes,DF,88065-1412,15/8/2019,56.981.489/5345-22,ME
3212,Mercedes Brito Silva Cardoso,RS,67919-7924,9/5/2021,59.072.663/2434-27,MEI
3213,Emily Santana Cardoso Rodriguez,SP,15113-3278,1/10/2022,51.871.389/9474-38,Grande Porte
3214,Nara Ferreira Cabral Rodrigues,MG,98655-0041,18/1/2023,96.063.843/2158-98,MEI
3215,Cassandra Moares Diones Teixeira,MT,48281-0257,1/4/2024,44.016.236/3358-21,ME
3216,Lara Leme Oliveria Santana,SP,95812-3254,3/7/2023,39.744.958/0671-25,ME
3217,Bruno Ferreira Rodriguez Matos,AC,19116-7053,24/3/2021,51.295.055/4550-78,MEI
3218,Beatriz Silva Coutinho Ferraz,PB,97402-3217,6/8/2018,95.139.300/6933-40,EPP
3219,Palmira Boaz Moares Ferraz,PE,53935-0278,15/11/2018,59.584.961/0924-62,MEI
3220,Palmira Pinheiro Munhoz Saboia,SP,23954-0885,24/5/2019,54.760.392/6347-89,ME
3221,Mafalda Teixeira Barbieri Fernandes,AM,52825-4891,25/7/2016,00.502.306/8630-87,ME
3222,Ben Ferraz Lobato Pinheiro,PR,56200-0073,21/8/2023,92.272.821/4894-00,MEI
3223,Sônia Ferraz Gonçalves Teixeira,PR,76170-6499,21/2/2017,52.629.514/3856-52,ME
3224,Sônia Matos Nascimento Boaz,BA,54534-6445,13/2/2022,77.692.141/6620-60,EPP
3225,Bruna Lobato Brito Ferraz,MS,47380-1140,1/9/2024,00.204.343/6834-32,ME
3226,Ben Oliveria Rodrigues Rodrigues,RJ,13926-3053,27/12/2024,50.905.033/5385-74,EPP
3227,Manoel Moares Santana Boaz,MS,12652-2550,8/4/2017,58.180.531/8034-31,MEI
3228,Dorotéia Fernandes Ferraz Diones,RJ,36345-8103,19/2/2018,99.801.824/9590-58,ME
3229,Vanessa Mendonça Coutinho Nascimento,RJ,34707-9300,13/9/2017,51.213.888/2119-87,EPP
3230,Isabel Pinheiro Ferraz Coutinho,SE,83687-1035,8/10/2018,14.136.125/3923-91,ME
3231,Breno Teixeira Coutinho Gonçalves,ES,08806-6052,23/1/2025,56.656.036/5436-04,Grande Porte
3232,Ben Matos Ferreira Diones,MG,03103-2259,6/7/2017,25.000.440/4044-55,ME
3233,Joaquim Ferreira Breda Ferraz,PB,26069-7347,23/6/2015,19.888.427/9887-59,ME
3234,Darwim Saboia Ferreira Nascimento,PA,00295-7630,26/4/2017,42.852.083/7358-87,ME
3235,Esther Marques Rodrigues Cabral,TO,39276-4456,3/9/2021,88.192.957/6047-78,ME
3236,Rute Leme Teixeira Marques,ES,14158-3466,4/7/2024,26.162.551/8930-19,MEI
3237,Dalva Oliveria Moares Lobato,CE,70069-9771,9/2/2025,02.305.282/5128-75,Medio Porte
3238,Gabriel Brito Cabral Teixeira,GO,34837-8602,17/12/2021,47.344.946/0067-84,EPP
3239,Breno Ferraz Ferraz Leme,AP,10800-9140,22/11/2025,97.125.665/4420-84,Grande Porte
3240,Jacques Paz Moares Matos,CE,21296-7619,27/1/2018,12.804.364/6622-36,ME
3241,Zuleide Marques Brito Silva,SP,23762-6586,11/1/2020,32.592.083/6358-75,ME
3242,Micheal Marques Marques Boaz,AL,32797-3803,14/7/2022,62.223.422/0462-12,ME
3243,Luiz Brito Ferreira Breda,MT,45870-4096,18/10/2025,70.550.080/9537-93,ME
3244,Antonieta Ferreira Matos Ferreira,DF,98308-1177,12/12/2020,93.526.933/7725-81,MEI
3245,Anita Mendonça Munhoz Silva,RS,68682-0712,26/7/2024,01.891.779/6219-93,ME
3246,Sônia Rodrigues Barbieri Munhoz,MA,59011-9064,8/8/2020,13.258.373/6749-95,MEI
3247,Eduardo Diones Saboia Breda,BA,30979-6995,1/10/2015,21.764.371/2847-83,ME
3248,Suely Matos Gonçalves Moares,RN,71881-4465,12/12/2021,15.030.378/7662-93,MEI
3249,Marlon Silva Coutinho Boaz,BA,82595-1900,4/1/2023,43.649.469/5822-83,EPP
3250,Emanuel Nascimento Moares Leite,DF,03185-0550,27/10/2016,67.469.719/4024-60,MEI
3251,Rafael Silva Coutinho Matos,PA,72197-1597,19/1/2022,27.900.664/5066-48,EPP
3252,Marcos Mendonça Lobato Boaz,AP,12274-3537,19/12/2017,27.425.715/3445-36,ME
3253,Chico Teixeira Coutinho Oliveria,BA,40749-7847,6/10/2023,33.397.123/6711-61,Medio Porte
3254,Mateus Brito Teixeira Ferreira,RS,98138-9187,26/2/2021,99.980.927/7158-72,EPP
3255,Rita Munhoz Barbieri Paz,AL,82405-1190,14/8/2023,09.164.035/9952-99,EPP
3256,Isabela Breda Ferraz Mendonça,SC,67352-9022,28/11/2023,21.068.649/1336-86,ME
3257,Giovanni Rodriguez Pinheiro Leme,RR,38215-2451,2/8/2015,53.983.109/3908-40,MEI
3258,Ben Lobato Boaz Diones,AL,65549-4558,25/11/2015,95.690.002/9869-79,ME
3259,Sabrina Cabral Brito Leme,TO,55806-9395,26/9/2016,69.529.623/2565-36,ME
3260,Jacques Rodrigues Marques Rodrigues,AM,42024-3445,28/3/2023,32.855.467/8325-09,MEI
3261,Martha Lobato Marques Rodrigues,RO,30269-6020,23/10/2025,56.441.319/3861-27,EPP
3262,Roberto Nascimento Leme Barbieri,AL,39113-1978,18/3/2024,53.076.340/4825-11,ME
3263,Laís Gonçalves Breda Silva,PI,73516-1615,4/12/2023,10.665.343/8250-59,EPP
3264,Henry Saboia Santana Saboia,RR,00570-7284,3/5/2019,31.518.266/7419-08,MEI
3265,Elaine Munhoz Gonçalves Munhoz,PB,81660-3276,9/8/2022,66.779.815/5544-03,EPP
3266,Enzo Coutinho Cabral Munhoz,DF,67041-9756,19/7/2025,85.937.306/4263-85,ME
3267,Zulmira Boaz Moares Munhoz,RN,12679-2280,10/6/2021,99.852.757/2616-98,ME
3268,Rita Diones Cabral Fernandes,MS,42509-4248,18/4/2021,30.145.331/8357-25,MEI
3269,Mercedes Boaz Cabral Munhoz,DF,89731-7968,19/9/2025,69.783.722/4817-94,ME
3270,Thereza Boaz Diones Rodriguez,MG,98715-4752,5/4/2016,67.378.104/0294-88,EPP
3271,Vinícius Silva Marques Lobato,SC,46759-1011,28/3/2016,40.730.628/9628-39,Grande Porte
3272,Juan Oliveria Coutinho Paz,PB,95890-7132,22/5/2018,76.770.044/7174-79,MEI
3273,Juan Munhoz Ferreira Paz,AC,94858-3374,2/9/2020,77.710.889/4288-77,ME
3274,Gabriela Paz Silva Boaz,MG,82636-9520,16/12/2022,91.051.599/1027-41,ME
3275,Eloísa Brito Oliveria Ferraz,RR,07917-5749,4/4/2025,16.754.899/2527-23,ME
3276,Ayrton Barbieri Paz Matos,CE,01225-7835,12/8/2015,52.613.131/0738-04,EPP
3277,Solange Boaz Matos Fernandes,SE,23502-8620,9/1/2025,78.123.870/8668-45,ME
3278,Antonieta Ferraz Ferraz Boaz,BA,51008-0642,17/4/2021,08.861.881/7142-05,ME
3279,Rafael Silva Leme Leite,PI,58515-7586,4/2/2015,77.278.311/8286-05,MEI
3280,Suzana Teixeira Cardoso Lobato,PI,23669-8709,25/9/2025,06.585.311/0340-67,ME
3281,Vanessa Rodriguez Silva Breda,TO,84202-7768,4/2/2018,15.498.966/9826-47,ME
3282,Anna Boaz Santana Teixeira,PB,50047-8251,3/9/2019,87.665.312/5201-97,ME
3283,Camilla Ferreira Lobato Mendonça,GO,53162-8236,20/7/2025,65.035.762/2973-55,MEI
3284,Miguel Teixeira Barbieri Cabral,PB,31517-1528,19/12/2016,82.329.276/4486-26,ME
